215,SCHOOLCRAFT EDU,18600 Haggerty Rd,Livonia,MI,48152,US,ChargePoint Network,J1772 NEMA520,
216,EVERGY,220 SE Green,Lees Summit,MO,64063,US,ChargePoint Network,J1772 NEMA520,
217,EVERGY,5352 Faraon St.,St Joseph,MO,64506,US,ChargePoint Network,J1772 NEMA520,
218,Courtyard Marriott - Hadley Amherst,423 Russell St,Hadley,MA,1035,US,Non-Networked,J1772,
219,City of Delray Beach - Banker's Row Parking Lot,200 NE 1st Ave,Delray Beach,FL,33444,US,Non-Networked,J1772,
220,KING COUNTY DOT,1755 Highlands Dr NE,Issaquah,WA,98027,US,ChargePoint Network,J1772 NEMA520,
221,Connecticut Legislative Office Building,300 Capitol Ave,Hartford,CT,6106,US,Non-Networked,J1772,
222,SEAPORT GARAGE,1 Seaport Ln,Boston,MA,2210,US,ChargePoint Network,J1772,
223,City of Columbia - Cannon Garage,1100 Taylor St,Columbia,SC,29201,US,Non-Networked,J1772,
224,City of Columbia - Washington Street Garage,1100 Washington St,Columbia,SC,29201,US,Non-Networked,J1772,
225,City of Columbia - Arsenal Hill Garage,1812 Lincoln St,Columbia,SC,29201,US,Non-Networked,J1772,
226,City of Columbia - Lincoln Street Garage,820 Washington St,Columbia,SC,29201,US,Non-Networked,J1772,
227,Greenville Zoo,150 Cleveland Park Dr,Greenville,SC,29601,US,Non-Networked,J1772,
228,City of Greenville - Poinsett Garage,25 W McBee Ave,Greenville,SC,29601,US,Non-Networked,J1772,
229,City of Greenville - Spring Street Garage,316 S Spring St,Greenville,SC,29601,US,Non-Networked,J1772,
230,City of Greenville - Church Street Garage,320 N Church St,Greenville,SC,29601,US,Non-Networked,J1772,
231,City of Columbia - Park Street Garage,1007 Park St,Columbia,SC,29201,US,Non-Networked,J1772,
232,City of Greenville - Commons Garage,60 Beattie Pl,Greenville,SC,29601,US,Non-Networked,J1772,
233,City of Greenville - Liberty Square Garage,65 Beattie Pl,Greenville,SC,29601,US,Non-Networked,J1772,
234,City of Greenville - Richardson Garage,66 Richardson St,Greenville,SC,29601,US,Non-Networked,CHADEMO J1772 J1772COMBO,
235,City of Rock Hill - Municipal Garage,121 E Black St,Rock Hill,SC,29730,US,Non-Networked,J1772,
236,City of Rock Hill - Cherry Park Parking Lot,1466 Cherry Rd,Rock Hill,SC,29730,US,Non-Networked,J1772,
237,Timken Sports Complex,725 Rice Ave,Union,SC,29379,US,Non-Networked,J1772,
238,Lockhart Power,420 River Rd,Lockhart,SC,29379,US,Non-Networked,J1772,
239,ClipperCreek Headquarters,11850 Kemper Rd,Auburn,CA,95603,US,Non-Networked,J1772,
240,Toyota of Santa Monica,801 Santa Monica Blvd,Santa Monica,CA,90401,US,Non-Networked,J1772,
241,City of Santa Monica - Civic Auditorium Solar Port,1855 Main St,Santa Monica,CA,90401,US,Non-Networked,J1772,SOLAR
242,Parc 55 Hotel,55 Cyril Magnin,San Francisco,CA,94102,US,Non-Networked,J1772,
243,Beach & Hyde Garage,655 Beach St,San Francisco,CA,94109,US,Non-Networked,J1772,
244,City of Santa Monica - Civic Parking Garage,333 Civic Center Dr,Santa Monica,CA,90401,US,Non-Networked,CHADEMO J1772,SOLAR
245,Denver International Airport - Canopy Airport Parking,8100 Tower Rd,Commerce City,CO,80022,US,Non-Networked,CHADEMO J1772 NEMA515,
246,Charles Hotel - Harvard Square,1 Bennett St,Cambridge,MA,2138,US,Non-Networked,J1772 NEMA515,
247,DMD PARKING FAC,400-498 3rd St NW,Albuquerque,NM,87102,US,ChargePoint Network,J1772 NEMA520,
248,New Turk Lake Market,2023 S Greenville Rd,Greenville,MI,48838,US,Non-Networked,J1772,
249,Town of Dyer - Town Hall,1 Town Square,Dyer,IN,46311,US,Non-Networked,J1772,
250,Peaches Bed & Breakfast,29 Gay Ave SE,Grand Rapids,MI,49503,US,Non-Networked,J1772,
251,GREEN MANGO,1771 Airport Rd,Jacksonville,FL,32218,US,ChargePoint Network,J1772,
252,GO ELECTRIC INC,403 N Hwy 17-92,Longwood,FL,32750,US,ChargePoint Network,J1772 NEMA520,
253,EVESHAM LEED,2401 E Evesham Rd,Voorhees Township,NJ,8043,US,ChargePoint Network,J1772 NEMA520,
254,EINSTEIN BAGELS,5050 Kietzke Ln,Reno,NV,89511,US,ChargePoint Network,J1772,
255,IRON EAGLE TECH,4037 Main St,Elk Horn,IA,51531,US,ChargePoint Network,J1772 NEMA520,
256,999 E. TOUHY,999 E Touhy Ave.,Des Plaines,IL,60018,US,ChargePoint Network,J1772 NEMA520,
257,City Hall Annex - Town of Normal,100 E Phoenix Ave,Normal,IL,61761,US,Non-Networked,J1772,
258,College Avenue Parking Deck,101 W Mulberry St,Normal,IL,61761,US,Non-Networked,J1772,
259,MCDONALD SWLA,625 E Prien Lake Rd,Lake Charles,LA,70601,US,ChargePoint Network,J1772 NEMA520,
260,WESTERN MICH U,4601 Campus Dr,Kalamazoo,MI,49008,US,ChargePoint Network,J1772,
261,CITY OF LOWELL,302 W Main St,Lowell,MI,49331,US,ChargePoint Network,J1772 NEMA520,
262,ECM WEBER ELEC,332 N Minnesota St,St Paul,MN,55101,US,ChargePoint Network,J1772 NEMA520,
263,DUKE ENERGY,410 S Mint St,Charlotte,NC,28202,US,ChargePoint Network,J1772,
264,PARK TOWER,3401-3447 Park Center Dr,Costa Mesa,CA,92626,US,ChargePoint Network,J1772 NEMA520,
265,PLAZA TOWER,600 Anton Blvd,Costa Mesa,CA,92626,US,ChargePoint Network,J1772 NEMA520,
